country,battingPos,BATTING,dismissal,R,B,4s,6s,SR,match id
England,1,Jonny Bairstow,out,33,35,4,1,94.28,ODI # 4658
England,2,Dawid Malan,out,14,24,2,0,58.33,ODI # 4658
England,3,Joe Root,out,77,86,4,1,89.53,ODI # 4658
England,4,Harry Brook,out,25,16,4,1,156.25,ODI # 4658
England,5,Moeen Ali,out,11,17,1,0,64.70,ODI # 4658
England,6,Jos Buttler(c),out,43,42,2,2,102.38,ODI # 4658
England,7,Liam Livingstone,out,20,22,3,0,90.90,ODI # 4658
England,8,Sam Curran,out,14,19,0,0,73.68,ODI # 4658
England,9,Chris Woakes,out,11,12,1,0,91.66,ODI # 4658
England,10,Adil Rashid,not out ,15,13,0,1,115.38,ODI # 4658
England,11,Mark Wood,not out ,13,14,0,0,92.85,ODI # 4658
New Zealand,1,Devon Conway,not out ,152,121,19,3,125.61,ODI # 4658
New Zealand,2,Will Young,out,0,1,0,0,0.00,ODI # 4658
New Zealand,3,Rachin Ravindra,not out ,123,96,11,5,128.12,ODI # 4658
Pakistan,1,Fakhar Zaman,out,12,15,3,0,80.00,ODI # 4659
Pakistan,2,Imam-ul-Haq,out,15,19,2,0,78.94,ODI # 4659
Pakistan,3,Babar Azam(c),out,5,18,0,0,27.77,ODI # 4659
Pakistan,4,Mohammad Rizwan,out,68,75,8,0,90.66,ODI # 4659
Pakistan,5,Saud Shakeel,out,68,52,9,1,130.76,ODI # 4659
Pakistan,6,Iftikhar Ahmed,out,9,11,1,0,81.81,ODI # 4659
Pakistan,7,Mohammad Nawaz,out,39,43,4,0,90.69,ODI # 4659
Pakistan,8,Shadab Khan,out,32,34,2,1,94.11,ODI # 4659
Pakistan,9,Hasan Ali,out,0,1,0,0,0.00,ODI # 4659
Pakistan,10,Shaheen Shah Afridi,not out ,13,12,2,0,108.33,ODI # 4659
Pakistan,11,Haris Rauf,out,16,14,2,1,114.28,ODI # 4659
Netherlands,1,Vikramjit Singh,out,52,67,4,1,77.61,ODI # 4659
Netherlands,2,Max O'Dowd,out,5,12,1,0,41.66,ODI # 4659
Netherlands,3,Colin Ackermann,out,17,21,3,0,80.95,ODI # 4659
Netherlands,4,Bas de Leede,out,67,68,6,2,98.52,ODI # 4659
Netherlands,5,Teja Nidamanuru,out,5,9,1,0,55.55,ODI # 4659
Netherlands,6,Scott Edwards(c),out,0,2,0,0,0.00,ODI # 4659
Netherlands,7,Saqib Zulfiqar,out,10,18,1,0,55.55,ODI # 4659
Netherlands,8,Roelof van der Merwe,out,4,7,0,0,57.14,ODI # 4659
Netherlands,9,Logan van Beek,not out ,28,28,3,1,100.00,ODI # 4659
Netherlands,10,Aryan Dutt,out,1,2,0,0,50.00,ODI # 4659
Netherlands,11,Paul van Meekeren,out,7,12,1,0,58.33,ODI # 4659
Afghanistan,1,Rahmanullah Gurbaz,out,47,62,4,1,75.80,ODI # 4660
Afghanistan,2,Ibrahim Zadran,out,22,25,3,1,88.00,ODI # 4660
Afghanistan,3,Rahmat Shah,out,18,25,1,0,72.00,ODI # 4660
Afghanistan,4,Hashmatullah Shahidi(c),out,18,38,2,0,47.36,ODI # 4660
Afghanistan,5,Najibullah Zadran,out,5,13,0,0,38.46,ODI # 4660
Afghanistan,6,Mohammad Nabi,out,6,12,0,0,50.00,ODI # 4660
Afghanistan,7,Azmatullah Omarzai,out,22,20,4,0,110.00,ODI # 4660
Afghanistan,8,Rashid Khan,out,9,16,1,0,56.25,ODI # 4660
Afghanistan,9,Mujeeb Ur Rahman,out,1,4,0,0,25.00,ODI # 4660
Afghanistan,10,Naveen-ul-Haq,out,0,6,0,0,0.00,ODI # 4660
Afghanistan,11,Fazalhaq Farooqi,not out ,0,3,0,0,0.00,ODI # 4660
Bangladesh,1,Tanzid Hasan,out,5,13,1,0,38.46,ODI # 4660
Bangladesh,2,Litton Das,out,13,18,2,0,72.22,ODI # 4660
Bangladesh,3,Mehidy Hasan Miraz,out,57,73,5,0,78.08,ODI # 4660
Bangladesh,4,Najmul Hossain Shanto,not out ,59,83,3,1,71.08,ODI # 4660
Bangladesh,5,Shakib Al Hasan(c),out,14,19,2,0,73.68,ODI # 4660
Bangladesh,6,Mushfiqur Rahim,not out ,2,3,0,0,66.66,ODI # 4660
South Africa,1,Quinton de Kock,out,100,84,12,3,119.04,ODI # 4661
South Africa,2,Temba Bavuma(c),out,8,5,2,0,160.00,ODI # 4661
South Africa,3,Rassie van der Dussen,out,108,110,13,2,98.18,ODI # 4661
South Africa,4,Aiden Markram,out,106,54,14,3,196.29,ODI # 4661
South Africa,5,Heinrich Klaasen,out,32,20,1,3,160.00,ODI # 4661
